HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,year,Tot_Spndng,Tot_Dsg_Unts,Tot_Benes,Avg_Spndng_Per_Dsg_Unt,Avg_Spndng_Per_Clm,Avg_Spndng_Per_Bene,Tot_Clms,Outlier_Flag
90371_2019,Hepatitis b immune globulin for injection into muscle,HyperHEP B*,Hepatitis B Immune Globulin*,2019,133840.0,1253.0,161.0,106.81564246,428.97435897,831.30434783,312.0,0.0
90375_2019,Rabies immune globulin for injection,HyperRAB*,Rabies Immune Globulin/PF*,2019,9387991.58,33961.0,3366.0,276.43448603,2765.2405243,2789.0646405,3395.0,0.0
90376_2019,"Rabies immune globulin for injection beneath the skin and/or into muscle, heat-treated",Imogam Rabies-HT,Rabies Immune Globulin/PF,2019,1258402.96,4708.0,491.0,267.29034834,2526.9135743,2562.9388187,498.0,0.0
90377_2019,Rabies immune globulin for injection beneath the skin and/or into muscle,Kedrab,Rabies Immune Globulin/PF,2019,\N,\N,\N,\N,\N,\N,\N,\N
90632_2019,Hepatitis a vaccine adult dosage,Havrix*,Hepatitis A Virus Vaccine/PF*,2019,80365.23,1408.0,1318.0,57.077578125,57.077578125,60.975136571,1408.0,0.0
90662_2019,"Influenza vaccine split virus, preservative free",Fluzone High-Dose 2017-2018*,Flu Vacc TS2017-18(65yr Up)/PF*,2019,428151655.8,8274233.0,8149914.0,51.745177566,51.809803372,52.534499849,8263912.0,0.0
90670_2019,"Pneumococcal vaccine, 13-valent",Prevnar 13,Pneumoc 13-Val Conj-Dip Crm/PF,2019,389206761.93,1947818.0,1931520.0,199.81680112,199.82562382,201.50283814,1947732.0,0.0
90671_2019,"Pneumococcal conjugate vaccine, 15 valent (pcv15), for intramuscular use",Vaxneuvance,Pneumoc 15-Val Conj-Dip Crm/PF,2019,\N,\N,\N,\N,\N,\N,\N,\N
90672_2019,"Influenza vaccine, quadrivalent for nasal administration",Flumist Quad 2018-2019*,Flu Vacc Qv Live 2018(2-49yrs)*,2019,10407.75,391.0,388.0,26.618286445,26.618286445,26.824097938,391.0,0.0
90674_2019,"Influenza vaccine, quadrivalent derived from cell cultures, preservative and antibiotic free",Flucelvax Quad 2017-2018 (90674)*,Flu Vac QS 17-18(4yr Up)cel/PF*,2019,21316754.66,811018.5,804700.0,26.283931452,26.282068092,26.490312738,811076.0,0.0
